name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
104,"ENSMUSG00000028076,133.754047021145,1.9864929996379599,0.49920854396484005,3.9792848573078,6.91228799086727e-05,0.000690714491944549"
105,"ENSMUSG00000017831,160.677716934169,1.81321838663721,0.45609599773480497,3.97551917938886,7.02258837004078e-05,0.000699654019359404"
106,"ENSMUSG00000025332,183.061671536861,1.69595294218541,0.428362829102935,3.95915057741359,7.52168045792289e-05,0.000742220195076447"
107,"ENSMUSG00000115764,195.49469111318402,1.6641406992112402,0.423691549352552,3.92771746746952,8.575586822126259e-05,0.000835777438469925"
108,"ENSMUSG00000048191,121.54138296597701,2.09540865992928,0.533661704623562,3.92647372253806,8.62003047103302e-05,0.00083949970432178"
109,"ENSMUSG00000039913,79.7068587529751,2.74782322822896,0.706271116934966,3.8906068255400403,9.999384314563179e-05,0.000958541979618726"
110,"ENSMUSG00000004221,215.148638942211,1.5693314729059398,0.403702543471052,3.88734601326204,0.000101346238988412,0.0009680512017171911"
111,"ENSMUSG00000095477,158.912645963498,1.7557063804908999,0.458549378768965,3.82882730144422,0.000128755314551448,0.00119089798514184"
112,"ENSMUSG00000083311,38.14396647136861,4.51976224239868,1.18270596477127,3.8215434579911,0.000132619037202905,0.00121907848708762"
113,"ENSMUSG00000042312,208.35469839063302,1.61634640245736,0.425903223767444,3.7951025309447597,0.000147582453311526,0.00133793329719123"
114,"ENSMUSG00000101335,86.1836105223616,2.41250430656403,0.6362993509396121,3.7914612092587103,0.00014976354247125,0.00135169648883662"
115,"ENSMUSG00000000486,98.3535766873457,2.2609775585832597,0.598568099224837,3.77731048733016,0.000158531050237031,0.0014146657838427401"
116,"ENSMUSG00000026260,170.099098222725,1.6593440880705903,0.44372615259625703,3.7395679257616603,0.00018433683286831298,0.00161595539518371"
117,"ENSMUSG00000031533,3131.57105663785,1.92351785637888,0.521734975682938,3.68677191683583,0.000227116743914044,0.0019390831981981"
118,"ENSMUSG00000030786,190.01121064466,1.54824610928469,0.42040751034421703,3.68272704742366,0.000230752192073971,0.00196637178905674"
119,"ENSMUSG00000053914,93.90729905551778,2.17622684652512,0.5925379494935329,3.67272146600101,0.000239981013947624,0.00202828509585688"
120,"ENSMUSG00000099478,211.933690502272,1.65801810608781,0.45328740036126597,3.6577634956682794,0.00025442564666742205,0.0021342513646117897"
121,"ENSMUSG00000112756,154.173419255201,1.6776873099618999,0.463250827371079,3.62155275465492,0.00029284007222564,0.00240688015299287"
122,"ENSMUSG00000085099,167.647045079631,1.6192941378245402,0.44909914654141403,3.6056495548811203,0.000311373104522071,0.00254054726229126"
123,"ENSMUSG00000028756,44.384282361321105,3.1292283378929002,0.882965474126771,3.54399852495662,0.000394107450371662,0.00312079189769542"
124,"ENSMUSG00000078622,93.20319035516658,2.0622324877438403,0.593572208942037,3.4742739917347096,0.00051223768506528,0.00392881331263662"
125,"ENSMUSG00000113110,133.43367932161001,1.7843094603508,0.521511577455111,3.4214186942079703,0.000622953481056575,0.00461459749067281"
126,"ENSMUSG00000061013,156.436739247114,1.57447229600328,0.462871418384391,3.4015327658355403,0.000670090951660783,0.00492304238556035"
127,"ENSMUSG00000113690,142.711775433686,1.6231257170271498,0.479686627629252,3.38372100354163,0.0007151062909490969,0.0052025338501876395"
128,"ENSMUSG00000107021,168.905039295854,1.5319938523768002,0.453728216007857,3.37645709111084,0.000734258239219049,0.00531321571052595"
129,"ENSMUSG00000026821,77.99615039988791,2.1758621315436204,0.6454382003698671,3.37113937522871,0.000748579751557112,0.0054050677760279706"
130,"ENSMUSG00000005397,867.6203018992439,2.35793984248342,0.7025987957771801,3.35602602318039,0.000790711281429224,0.00566058236119108"
131,"ENSMUSG00000108176,133.802331186709,1.6972584738113201,0.508098535005813,3.3404120596252205,0.000836541693164792,0.00591614267467254"
132,"ENSMUSG00000020988,150.743558459032,1.63453724346606,0.49267132800992,3.31770320401748,0.000907608698099028,0.00634079754503732"
133,"ENSMUSG00000065445,80.53493921042771,2.31472692735222,0.698726200282913,3.31278106705458,0.0009237325809778961,0.0064311708463106"
134,"ENSMUSG00000082418,26.9317217073719,3.86651672466142,1.1688614283478702,3.30793422632362,0.000939868808429383,0.00651312595315099"
135,"ENSMUSG00000073997,76.21953261178821,2.29048162474439,0.704224079909157,3.2524897828541297,0.0011439870858393699,0.0076474597127042096"
136,"ENSMUSG00000036292,40.887829527615104,2.93736078807625,0.904903001691937,3.246050441411,0.00117018103885016,0.0077915376062259"
137,"ENSMUSG00000051550,20.946738374350897,4.88999069652642,1.5338769134621297,3.18799419536811,0.00143263412429537,0.00922352650493134"
138,"ENSMUSG00000079386,23.1965148968676,4.5519762297049295,1.43978853227132,3.1615588870707296,0.00156927085142395,0.0100025190007706"
139,"ENSMUSG00000033257,124.25731151121401,1.60639450565609,0.513493290556866,3.12836513192608,0.00175781661960383,0.0109763793310921"
140,"ENSMUSG00000058831,80.468000350524,1.96973927236177,0.6325405280024821,3.11401275517011,0.00184561510943508,0.0113804457849923"
141,"ENSMUSG00000070469,28.443035024800896,4.1328071252819,1.32808581759895,3.11185246504145,0.0018591738775331698,0.0114377944000323"
142,"ENSMUSG00000023873,109.36275819236499,1.67829521178018,0.545757242193041,3.07516800883156,0.0021038400488909803,0.0127215541902773"
143,"ENSMUSG00000071494,117.070533944154,1.56701510928797,0.5264021082180721,2.9768404890939397,0.00291235491690285,0.0166437985251086"
144,"ENSMUSG00000109155,80.9904317586669,1.86963690980502,0.6358904281884089,2.94018721925322,0.00328013985892764,0.0183857588920694"
145,"ENSMUSG00000085893,63.49680911104,2.13669893451851,0.728085191138856,2.9346825900638502,0.0033388904407942103,0.0186605487390205"
146,"ENSMUSG00000072692,114.323467455926,1.55890639963238,0.532169127164712,2.92934392481186,0.00339678351412555,0.0189132680740904"
147,"ENSMUSG00000083902,25.946480577104996,3.4177339821204002,1.17622823501391,2.9056724540199306,0.0036646484382053296,0.0200718713397625"
148,"ENSMUSG00000093779,111.593670782567,1.5678704985729701,0.542481929368904,2.8901801400038303,0.0038502112675289,0.0208922575042073"
149,"ENSMUSG00000006586,95.16878990148659,1.6824555986923102,0.5835321046518179,2.8832271357137995,0.00393623503201097,0.0212816571980303"
150,"ENSMUSG00000049164,124.926474480489,1.66209479854622,0.57866618592493,2.87228602426381,0.0040751394650672,0.0218828960479218"
151,"ENSMUSG00000109807,145.607399462772,1.62373737720359,0.5664232192245671,2.8666504516295803,0.00414840924744409,0.0222266368550976"
152,"ENSMUSG00000059974,42.590621662416204,2.50699072413667,0.877167968452924,2.85805092559215,0.004262519766915929,0.0227435997098454"
153,"ENSMUSG00000087808,79.43923457827559,1.82563856005947,0.638860677883051,2.85764740773992,0.0042679434683101794,0.0227544584277117"
