Unnamed: 0,E2F1_12hr_dox_rep1,E2F1_12hr_dox_rep2,E2F1_6hr_dox_rep1,E2F1_6hr_dox_rep2,E2F1_2hr_dox_rep1,E2F1_2hr_dox_rep2,E2F1_0hr_rep1,E2F1_0hr_rep2
ENSMUSG00000097981.1,0.0,0.0,0.0,2.0018665491,0.0,3.0151457908999997,0.0,0.0
ENSMUSG00000111012.1,0.9903967786,0.0,0.9977309364,0.0,1.9954973787,0.0,2.9542685761,0.0
ENSMUSG00000066592.3,1.9807935571000002,1.9850802097,1.9954618729,11.0102660201,0.9977486893999999,0.0,3.9390247681,0.9796694542000001
ENSMUSG00000114349.1,48.5294421498,84.3659089129,65.8502418054,40.037330982,40.9076962637,48.2423326545,35.451222913,65.6378534328
ENSMUSG00000090186.6,0.0,8.9328609437,0.0,4.0037330982,0.0,2.0100971939,2.9542685761,6.857686179500001
ENSMUSG00000115651.1,0.0,0.0,1.9954618729,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000087390.1,6.93277745,1.9850802097,2.9931928093,6.0055996473,17.9594764085,20.1009719394,15.7560990725,11.756033450599999
ENSMUSG00000083332.1,5.9423806714,0.0,0.0,0.0,0.9977486893999999,7.0353401788,0.0,0.0
ENSMUSG00000109933.1,8.9135710071,16.8731817826,17.959156856,14.013065843699998,6.9842408255,15.0757289545,8.8628057283,9.796694542200001
ENSMUSG00000079457.10,1.9807935571000002,1.9850802097,7.9818474916,1.0009332746,0.0,2.0100971939,2.9542685761,5.878016725299999
ENSMUSG00000087239.1,0.9903967786,0.0,0.0,0.0,1.9954973787,0.0,0.0,0.0
ENSMUSG00000113168.1,1.9807935571000002,0.0,0.0,1.0009332746,0.0,0.0,0.984756192,0.0
ENSMUSG00000109935.1,0.0,0.9925401049,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000114397.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,0.0,0.0
ENSMUSG00000113728.1,0.0,0.0,0.0,0.0,1.9954973787,0.0,0.0,0.0
ENSMUSG00000118283.1,0.0,31.7612833555,35.9183137121,28.026131687399996,33.9234554382,50.2524298484,40.3750038732,5.878016725299999
ENSMUSG00000102890.1,4.9519838927999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025644.10,69.3277744998,61.5374865012,13.9682331102,11.0102660201,21.9504711659,9.0454373727,14.771342880399999,14.6950418133
ENSMUSG00000100652.1,0.0,0.0,0.0,0.0,0.0,0.0,0.984756192,0.9796694542000001
ENSMUSG00000080790.1,1.9807935571000002,1.9850802097,0.0,0.0,1.9954973787,4.0201943879,1.9695123841,1.9593389084000001
ENSMUSG00000114553.1,0.0,0.0,0.0,0.0,2.9932460681,0.0,0.0,0.0
ENSMUSG00000084033.3,20.7983323499,10.9179411534,7.9818474916,19.0177322165,19.9549737872,5.0252429848,15.7560990725,7.8373556338
ENSMUSG00000090667.2,0.9903967786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000092227.1,0.9903967786,3.9701604194,0.0,1.0009332746,0.9977486893999999,2.0100971939,0.0,1.9593389084000001
ENSMUSG00000111537.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9186778169
ENSMUSG00000097991.1,6.93277745,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0
ENSMUSG00000082935.3,296.1286367918,326.5456944982,377.14229397660006,331.30891387639997,293.3381146717,325.6357454176,309.2134442969,349.7419951567
ENSMUSG00000118247.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,0.0,0.0
ENSMUSG00000113428.1,1.9807935571000002,7.9403208389,25.941004347600003,17.0158656674,17.9594764085,15.0757289545,4.9237809601,16.6543807217
ENSMUSG00000063628.2,496.1887860626,489.3222716949,570.7020956471,647.6038286344,608.6267005093,586.9483806292,698.1921401481,706.341676493
ENSMUSG00000067547.6,98.0492810782,107.19433132459999,116.7345195642,100.0933274551,133.6983243742,185.933990439,138.850623076,90.1295897883
ENSMUSG00000116547.1,1.9807935571000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000109617.1,6.93277745,0.0,0.0,0.0,0.0,2.0100971939,0.984756192,0.0
ENSMUSG00000082608.1,0.0,0.0,0.0,2.0018665491,0.0,0.0,0.0,0.9796694542000001
ENSMUSG00000097086.1,0.0,0.0,0.9977309364,0.0,3.9909947574,1.005048597,4.9237809601,0.0
ENSMUSG00000110657.1,0.9903967786,4.9627005243,0.0,0.0,0.0,6.030291581799999,2.9542685761,0.0
ENSMUSG00000110514.1,0.9903967786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000115604.1,0.0,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0
ENSMUSG00000111870.1,0.0,0.0,0.0,0.0,0.0,3.0151457908999997,0.0,0.0
ENSMUSG00000098195.1,1.9807935571000002,4.9627005243,0.0,0.0,0.9977486893999999,0.0,2.9542685761,5.878016725299999
ENSMUSG00000102752.1,24.7599194642,11.910481258299999,13.9682331102,2.0018665491,3.9909947574,0.0,0.0,0.9796694542000001
ENSMUSG00000091363.1,1.9807935571000002,3.9701604194,4.9886546822,11.0102660201,5.9864921362,3.0151457908999997,1.9695123841,2.9390083626999997
ENSMUSG00000091570.1,0.0,0.0,0.0,2.0018665491,0.0,0.0,0.984756192,0.0
ENSMUSG00000113109.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796694542000001
ENSMUSG00000082204.2,0.0,0.0,0.0,0.0,0.0,1.005048597,0.984756192,0.0
ENSMUSG00000112851.1,0.0,0.0,1.9954618729,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000046636.5,122.80920054239999,114.1421120586,109.7504030091,164.1530570264,105.76136107209999,111.5603942634,92.5670820507,125.3976901402
ENSMUSG00000073177.8,110.92443919959999,112.15703184889999,150.6573714033,123.11479276979999,253.4281670973,218.095545542,157.56099072450002,178.29984066810002
ENSMUSG00000110545.1,656.6330641906,722.5691963364999,866.0304528350999,830.7746178773,877.0210979469999,993.9930624012,853.7836184885001,773.9388688342
ENSMUSG00000106496.1,0.0,0.0,1.9954618729,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000113549.1,0.0,0.0,0.9977309364,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000097713.1,0.9903967786,3.9701604194,0.0,0.0,0.9977486893999999,0.0,0.0,0.0
ENSMUSG00000110531.1,11.8847613428,0.0,1.9954618729,6.0055996473,7.9819895149,2.0100971939,3.9390247681,16.6543807217
ENSMUSG00000113406.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,0.984756192,0.0
ENSMUSG00000098037.1,0.0,2.9776203145999998,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000110610.1,0.0,0.0,0.0,0.0,1.9954973787,0.0,0.0,0.0
ENSMUSG00000105189.1,19.8079355714,18.8582619923,7.9818474916,14.013065843699998,8.9797382042,8.0403887757,2.9542685761,3.9186778169
ENSMUSG00000100018.1,0.0,0.0,0.0,6.0055996473,0.0,0.0,1.9695123841,0.0
ENSMUSG00000111744.1,0.0,0.9925401049,0.0,0.0,1.9954973787,0.0,0.0,0.0
ENSMUSG00000081456.1,4.9519838927999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000107920.1,0.9903967786,0.0,0.0,1.0009332746,1.9954973787,0.0,0.0,0.0
ENSMUSG00000083064.1,29.711903356999997,9.9254010486,14.9659640467,33.0307980602,12.970732961700001,38.1918466848,31.512198144899997,25.4714058097
ENSMUSG00000111272.1,0.0,0.0,0.0,0.0,0.0,0.0,5.9085371522,0.0
ENSMUSG00000112371.1,0.0,1.9850802097,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000083754.3,7.923174228500001,3.9701604194,3.9909237458,7.006532921900001,1.9954973787,7.0353401788,2.9542685761,5.878016725299999
ENSMUSG00000103357.1,0.0,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0
ENSMUSG00000086004.1,0.0,0.0,0.9977309364,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000110637.1,6.93277745,14.8881015729,2.9931928093,18.0167989419,17.9594764085,8.0403887757,12.801830496400001,12.7357029049
ENSMUSG00000099397.1,66.3565841641,45.6568448235,41.904699330700005,41.0382642566,53.8784292254,62.313013012,62.039640097799996,50.9428116195
ENSMUSG00000083261.4,28.721506578499998,26.798582831199997,24.9432734111,10.0093327455,18.9572250978,33.166603699899994,23.6341486087,12.7357029049
ENSMUSG00000117234.1,0.0,0.0,0.9977309364,0.0,0.0,0.0,0.0,2.9390083626999997
ENSMUSG00000083205.1,0.0,0.0,0.0,0.0,0.0,2.0100971939,0.0,0.0
ENSMUSG00000082905.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796694542000001
ENSMUSG00000083226.2,0.0,2.9776203145999998,0.0,0.0,0.0,2.0100971939,0.0,0.0
ENSMUSG00000106917.1,0.0,0.0,0.0,2.0018665491,0.0,1.005048597,2.9542685761,0.9796694542000001
ENSMUSG00000097943.1,0.0,0.0,0.0,0.0,1.9954973787,0.0,0.0,0.0
ENSMUSG00000112017.1,1.9807935571000002,0.0,6.9841165551,8.0074661964,0.0,14.0706803575,0.984756192,8.817025088
ENSMUSG00000086240.4,178.2714201423,226.29914390759998,124.71636705569999,103.09612727870001,84.8086385956,91.4594223241,101.4298877789,36.2477698062
ENSMUSG00000087121.1,0.0,1.9850802097,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000110619.1,0.0,0.0,0.0,0.0,3.9909947574,0.0,0.0,0.9796694542000001
ENSMUSG00000084301.1,0.0,1.9850802097,0.0,0.0,0.0,2.0100971939,2.9542685761,2.9390083626999997
ENSMUSG00000082655.1,0.0,0.0,0.0,2.0018665491,0.0,0.0,1.9695123841,1.9593389084000001
ENSMUSG00000101726.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,0.0,0.0
ENSMUSG00000116089.1,6.93277745,8.9328609437,7.9818474916,8.0074661964,10.975235583,18.0908747454,11.8170743043,13.715372359100002
ENSMUSG00000082535.1,2.9711903357,0.0,0.9977309364,6.0055996473,2.9932460681,2.0100971939,0.0,1.9593389084000001
