name,0hr,2hr,6hr,12hr,class
ENSMUSG00000057530.14,1493.9959176863,1934.7185491631,2971.7708921417,2543.8802887506,4
ENSMUSG00000022842.18,124.418020686,203.0198165875,336.3135802491,226.2991439076,4
ENSMUSG00000073599.10,5.8780167253,10.0504859697,3.0027998237,2.9776203146,4
ENSMUSG00000050944.14,12.7357029049,21.1060205363,54.0503968257,159.7989568821,2
ENSMUSG00000044056.3,38.2071087146,35.1767008939,133.1241255153,116.1271922684,4
ENSMUSG00000028039.11,333.087614435,333.6761341933,659.6150279291,326.5456944982,4
ENSMUSG00000003934.5,48.983472711,77.3887419665,128.1194591425,142.9257750995,4
ENSMUSG00000024841.8,760.2234964751,1011.0788885496,2271.117599956,2382.0962516588,4
ENSMUSG00000067194.6,5604.6889475956,5585.0550533503,5392.0275500058,5885.7628218068,4
ENSMUSG00000028683.14,590.740680895,810.0691691561,680.6346266946,652.0988488916,4
ENSMUSG00000056076.13,9348.9856016265,12540.9963929646,11961.1526308835,12498.0650003696,4
ENSMUSG00000016554.9,2657.8432293003,2856.3481125826,2459.2930555716,2773.1570529727,4
ENSMUSG00000028546.17,0,0,0,0.9925401049,2
ENSMUSG00000041112.17,19.5933890844,37.1867980878,10.0093327455,1.9850802097,4
ENSMUSG00000042507.15,2672.5382711136,2249.298760014,3784.528711077,2602.4401549372,4
ENSMUSG00000057534.13,29.3900836266,16.0807775515,23.0214653147,5.9552406291,4
ENSMUSG00000006390.15,2650.0058736665,3240.2766766243,2184.0364050701,2253.0660380272,4
ENSMUSG00000055943.5,1937.7861804482,2140.7535115415,2088.9477439878,2935.9336301694,4
ENSMUSG00000032624.16,2221.8903221722,2651.3181988011,4668.3527925055,3701.1820510148,4
ENSMUSG00000043969.4,484.9363798392,575.8928460626,541.504901532,523.0686352601,4
ENSMUSG00000037419.9,1062.9413578293,1198.0179275857,2319.1623971345,2136.9388457589,4
ENSMUSG00000026679.3,1.9593389084,7.0353401788,7.0065329219,5.9552406291,4
ENSMUSG00000059040.5,7658.0761236419,8076.5705252335,6982.5105232672,5977.0765114538,4
ENSMUSG00000035245.12,478.0786936596,451.2668200386,611.5702307506,649.121228577,4
ENSMUSG00000032446.14,0,3.0151457909,0,0,1
ENSMUSG00000039840.8,4974.7614885318,3088.5143384822,2764.5777043096,2298.7228828507,4
ENSMUSG00000055493.4,38.2071087146,39.1968952817,60.0559964731,34.73890367,4
ENSMUSG00000115388.2,116.5806650522,39.1968952817,33.0307980602,21.8358823069,4
ENSMUSG00000021709.14,11250.5240122685,9381.1236040978,13748.8194592314,8468.3521746469,4
ENSMUSG00000029377.5,485.9160492934,445.2365284568,415.3873089386,354.3368174342,4
ENSMUSG00000021831.9,1453.8294700633,1793.0066969906,1861.7358906647,1470.9444353993,4
ENSMUSG00000021055.14,10.7763639964,0,0,3.9701604194,3
ENSMUSG00000037681.13,34.2884308977,46.2322354605,35.0326646093,31.7612833555,4
ENSMUSG00000006311.8,1.9593389084,7.0353401788,0,0,1
ENSMUSG00000039903.17,136.1740541367,153.7724353361,120.1119929461,129.0302136315,4
ENSMUSG00000021262.15,2772.4645554441,2628.2020810709,4295.004681098,5598.9187315029,4
ENSMUSG00000036435.13,1586.084846383,1822.1531063027,1513.411111121,1834.2141137772,4
ENSMUSG00000061244.14,1767.3236954138,2162.8645806748,3643.3971193653,2967.6949135249,4
ENSMUSG00000034321.14,704.3823375846,824.1398495136,1058.9874044749,1037.2044095764,4
ENSMUSG00000034259.8,662.2565510531,616.0947899413,493.4601043536,577.6583410272,4
ENSMUSG00000025785.5,529.0215052791,501.5192498869,697.650492362,934.9727787761,4
ENSMUSG00000114442.1,81.3125647003,30.151457909,46.0429306293,29.7762031457,4
ENSMUSG00000073684.13,558.4115889057,405.034584578,481.448905059,820.8306667174,4
ENSMUSG00000030493.13,231.201991196,367.8477864902,258.2407848341,563.7627795592,4
ENSMUSG00000024691.13,3472.9282152118,3663.4021359478,7047.571186113,13340.7315493939,4
ENSMUSG00000034334.8,32.3290919893,32.161555103,16.0149323928,6.947780734,4
ENSMUSG00000042595.7,793.5322579186,858.3115018105,721.6728909512,416.8668440403,4
ENSMUSG00000070476.10,445.7496016703,525.6404162142,713.6654247548,577.6583410272,4
ENSMUSG00000030207.15,355.6200118821,324.6306968206,569.5310332195,713.6363353928,4
ENSMUSG00000051113.9,68.5768617954,54.2726242363,19.0177322165,33.7463635652,4
ENSMUSG00000054161.12,10.7763639964,10.0504859697,12.0111992946,0,4
