,EV_0hr_ser_rep1,EV_0hr_ser_rep2,EV_2hr_ser_rep1,EV_2hr_ser_rep2,EV_6hr_ser_rep1,EV_6hr_ser_rep2,EV_12hr_ser_rep1,EV_12hr_ser_rep2
ENSMUSG00000079511.8,20.6710243831,24.6756479896,7.8635224346,8.9046868317,11.7803592675,10.7797274176,18.9554607085,16.9714023949
ENSMUSG00000106391.1,34.4517073051,23.68862207,30.4711494342,12.8623254235,19.6339321124,19.5995043956,31.9249864564,39.9327115173
ENSMUSG00000104721.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000105148.1,0,1.9740518392,0,0,0,0,0,1.9966355759
ENSMUSG00000104583.1,1.9686689889,0,0,0,0,0,0.9976558268,0
ENSMUSG00000106443.1,1.9686689889,1.9740518392,0,0,1.9633932112,0,0,0
ENSMUSG00000106785.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000107023.2,35.4360417996,23.68862207,27.5223285212,26.714060495,15.7071456899,9.7997521978,32.9226422831,18.9680379707
ENSMUSG00000106197.1,19.6866898887,10.8572851154,18.6758657823,1.9788192959,15.7071456899,9.7997521978,15.9624932282,3.9932711517
ENSMUSG00000106093.1,0,0,0,0,0.9816966056,0,0,0
ENSMUSG00000105601.1,34.4517073051,22.7015961504,2.948820913,3.9576385919,10.7986626618,5.8798513187,23.9437398423,4.9915889397
ENSMUSG00000107102.1,17.7180208998,8.8832332763,13.7611642606,0,1.9633932112,14.6996282967,9.9765582676,2.9949533638
ENSMUSG00000106767.1,11.8120139332,26.6496998288,35.3858509559,27.703470143,7.853572845,19.5995043956,5.9859349606,14.974766819
ENSMUSG00000107158.1,0,1.9740518392,0,0,0,0,0,0
ENSMUSG00000106696.1,1.9686689889,3.9481036783,0,0,0,4.8998760989,6.9835907873,0
ENSMUSG00000106758.1,3.9373379777,0,7.8635224346,5.9364578878,0,11.7597026373,0,0
ENSMUSG00000107331.1,125.9948152874,111.533928913,92.396388607,85.089229725,72.645548816,79.377992802,69.8359078733,75.8721518829
ENSMUSG00000107068.1,2.9530034833,0,0,0,0,3.9199008791,0,0
ENSMUSG00000050936.5,62.9974076437,57.2475033359,11.795283652,12.8623254235,1.9633932112,14.6996282967,16.960149055,2.9949533638
ENSMUSG00000105560.1,2.9530034833,1.9740518392,4.9147015216,0,4.9084830281,0,0,0.9983177879
ENSMUSG00000106808.1,1.9686689889,2.9610777588,0,0,0,0,0.9976558268,0.9983177879
ENSMUSG00000105742.1,36.420376294,69.0918143709,34.4029106515,27.703470143,27.4875049574,28.4192813736,30.9273306296,16.9714023949
ENSMUSG00000099422.4,0.9843344944,0,0,3.9576385919,0.9816966056,0,0,0
ENSMUSG00000106621.1,0,1.9740518392,2.948820913,0,0,0,0,1.9966355759
ENSMUSG00000107238.1,0,0,4.9147015216,0,0,0,0,0
ENSMUSG00000106518.1,11.8120139332,5.9221555175,0,0,6.8718762394,1.9599504396,3.990623307,1.9966355759
ENSMUSG00000106985.1,0,1.9740518392,0,0,0,0,0,0
ENSMUSG00000104983.1,3.9373379777,8.8832332763,8.846462739,12.8623254235,0,0,1.9953116535,0
ENSMUSG00000106300.1,3.9373379777,3.9481036783,2.948820913,0.989409648,0.9816966056,0,15.9624932282,0
ENSMUSG00000104676.1,2.9530034833,0,2.948820913,0,1.9633932112,5.8798513187,0,0
ENSMUSG00000105112.1,25.5926968552,75.0139698884,153.3386874754,164.2420015621,120.7486824915,196.9750191754,75.8218428339,39.9327115173
ENSMUSG00000104602.1,0,0,0,0,0.9816966056,0,0.9976558268,0
ENSMUSG00000105976.1,3.9373379777,0,2.948820913,10.8835061276,0,1.9599504396,0.9976558268,1.9966355759
ENSMUSG00000104795.1,16.7336864054,19.7405183917,25.5564479126,4.9470482398,8.8352694506,14.6996282967,6.9835907873,1.9966355759
ENSMUSG00000107133.1,3.9373379777,0,0,0,0,0,0,0
ENSMUSG00000107388.1,32.4830383163,43.4291404617,25.5564479126,25.7246508471,19.6339321124,26.459330934,19.9531165352,32.9444870018
ENSMUSG00000107340.1,2.9530034833,0,0,0,0,1.9599504396,1.9953116535,0.9983177879
ENSMUSG00000085732.1,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000106892.1,16.7336864054,9.8702591958,17.6929254779,2.9682289439,15.7071456899,10.7797274176,20.950772362,12.9781312431
ENSMUSG00000105954.1,72.840752588,117.4560844306,8.846462739,1.9788192959,6.8718762394,8.819776978,17.9578048817,16.9714023949
ENSMUSG00000104839.1,0,1.9740518392,0,0,0,0,0,0
ENSMUSG00000105664.1,0,0,3.9317612173,0,0,0,0,0
ENSMUSG00000106717.1,32.4830383163,6.9091814371,17.6929254779,1.9788192959,23.5607185349,21.5594548351,34.9179539367,24.9579446983
ENSMUSG00000107245.1,15.7493519109,23.68862207,5.897641826,1.9788192959,0.9816966056,0,4.9882791338,0.9983177879
ENSMUSG00000106075.1,0,0.9870259196,2.948820913,0,0,0,0,1.9966355759
ENSMUSG00000105845.1,0.9843344944,0,0,0,2.9450898169,0,0,0.9983177879
ENSMUSG00000105941.1,10.8276794388,30.5978035071,0.9829403043,11.8729157756,2.9450898169,4.8998760989,4.9882791338,2.9949533638
ENSMUSG00000106862.1,6.890341461,0,4.9147015216,0,0,0,2.9929674803,0
ENSMUSG00000106422.1,3.9373379777,0,0,0,0,4.8998760989,3.990623307,0
ENSMUSG00000105012.1,0,0,0,0,0,9.7997521978,0,0
ENSMUSG00000106568.1,0,1.9740518392,0,0,0.9816966056,0,0,3.9932711517
ENSMUSG00000104686.1,9.8433449443,24.6756479896,7.8635224346,0,16.6888422956,5.8798513187,14.9648374014,5.9899067276
ENSMUSG00000105728.1,10.8276794388,3.9481036783,26.5393882169,18.7987833113,6.8718762394,9.7997521978,20.950772362,0
ENSMUSG00000106427.1,4.9216724722,26.6496998288,13.7611642606,5.9364578878,4.9084830281,0,3.990623307,1.9966355759
ENSMUSG00000106596.1,5.9060069666,12.8313369546,12.7782239563,0,4.9084830281,0,2.9929674803,0
ENSMUSG00000105895.1,10.8276794388,12.8313369546,20.6417463909,8.9046868317,10.7986626618,9.7997521978,0,0
ENSMUSG00000104916.1,0.9843344944,0,0,0,1.9633932112,0,1.9953116535,0
ENSMUSG00000105295.1,0.9843344944,0,0,0,0,0,0,0.9983177879
ENSMUSG00000106663.1,0,0.9870259196,7.8635224346,0,0,0,0,0
ENSMUSG00000104938.1,0,1.9740518392,4.9147015216,4.9470482398,5.8901796337,1.9599504396,0.9976558268,0
ENSMUSG00000106528.1,1.9686689889,0,0,0,8.8352694506,0,0.9976558268,0
ENSMUSG00000106211.1,0,0.9870259196,0,0,0,0,2.9929674803,0
ENSMUSG00000105293.1,0,1.9740518392,0,3.9576385919,0,1.9599504396,0.9976558268,0
ENSMUSG00000105796.1,3.9373379777,1.9740518392,0.9829403043,1.9788192959,0,0,0,1.9966355759
ENSMUSG00000106743.1,0,6.9091814371,0,4.9470482398,0,0,0,0
ENSMUSG00000107043.1,1.9686689889,7.8962073567,5.897641826,0,0,1.9599504396,0,1.9966355759
ENSMUSG00000085829.1,59.060069666,33.5588812659,22.6076269996,31.6611087349,8.8352694506,41.1589592307,5.9859349606,15.9730846069
ENSMUSG00000106688.1,0.9843344944,0,0,0.989409648,0,0,0,0
