,EV_0hr_dox_rep1,EV_0hr_dox_rep2,EV_2hr_dox_rep1,EV_2hr_dox_rep2,EV_6hr_dox_rep1,EV_6hr_dox_rep2,EV_12hr_dox_rep1,EV_12hr_dox_rep2
ENSMUSG00000025905.14,0.9966141046,0.996519692,0,0.9858075312,0,0,0,0
ENSMUSG00000027584.17,1.9932282093,0,5.9484551729,1.9716150624,1.994899696,3.9764961952,0,0
ENSMUSG00000000766.18,0,0,0.9914091955,0,4.98724924,0,0,0
ENSMUSG00000010311.15,291.011318551,287.9941909769,184.4021103589,281.9409539256,207.4695683833,173.9717085392,163.7697148246,142.9659792699
ENSMUSG00000026672.11,136.5361323338,123.5684418032,151.6856069081,176.4595480863,96.7526352557,158.0657237585,237.2179505641,184.9559871673
ENSMUSG00000049686.14,336.8555673638,333.8340968072,512.5585540621,487.9747279481,375.0411428468,392.6789992743,472.4508136758,379.9095952626
ENSMUSG00000039747.11,917.8815903611,791.2366354176,948.7786000724,1107.0618575468,859.8017689732,864.8879224522,913.140228113,818.8051540002
ENSMUSG00000043964.14,1160.0588177854,1109.1264171534,1154.9917127319,1025.2398324566,1065.2764376606,1272.4787824584,1039.1932813416,1314.6871520271
ENSMUSG00000028587.18,228.2246299595,238.1682063788,244.8780712831,204.0621589601,149.6174771995,179.936452832,89.3289353589,95.9771609084
ENSMUSG00000026037.14,441.5000483496,574.9918622619,617.6479287828,660.4910459095,463.8141793185,540.8034825448,555.8244866775,418.9003168816
ENSMUSG00000040044.11,965.7190673832,1189.8445122023,819.8954046603,855.6809370887,977.5008510369,1008.0417854788,948.8718022565,928.7789842078
